Cooperator,Project Title,Activity/Measurement,Date (yyyy-mm-dd),Notes
Wade Dooley,Can We Reduce N and Improve ROI?,Field history -- 2017-2021,,"soybeans, oats/clover, corn, soybeans/rye, rye, corn, no-till, grazing"
Wade Dooley,Can We Reduce N and Improve ROI?,Previous crop,,rye crop in 2017
Wade Dooley,Can We Reduce N and Improve ROI?,No. reps,,4 reps
Wade Dooley,Can We Reduce N and Improve ROI?,Strip size,,"30 ft wide, 470"
Wade Dooley,Can We Reduce N and Improve ROI?,Treatments,,Trt 1 Typical rate: ;Trt 2 Reduced rate:
Wade Dooley,Can We Reduce N and Improve ROI?,Cover crop -- seeding,7/28/2021,"high-diversity mix (>15 species); 45lbs/ac; direct-drilled; 7.5"" rows"
Wade Dooley,Can We Reduce N and Improve ROI?,Cover crop -- termination,5/20/2022,"Clarity (16oz), Roundup powermax (30oz), Infantry (63oz)"
Wade Dooley,Can We Reduce N and Improve ROI?,Fall Grazing -- begin,,none
Wade Dooley,Can We Reduce N and Improve ROI?,Fall Grazing -- end,,
Wade Dooley,Can We Reduce N and Improve ROI?,Spring Grazing -- begin,,none
Wade Dooley,Can We Reduce N and Improve ROI?,Spring Grazing -- end,,
Wade Dooley,Can We Reduce N and Improve ROI?,Corn planting,5/17/2022,"33,000 pop; 30"" rows"
Wade Dooley,Can We Reduce N and Improve ROI?,Tillage,,
Wade Dooley,Can We Reduce N and Improve ROI?,Fertilizer,5/20/2022,"Both Trts: 32% liquid N (100lbs N/ac), broadcast w/ burndown"
Wade Dooley,Can We Reduce N and Improve ROI?,Fertilizer,,"ammonium thiosulfate (65lbs N, 35lbs S), sidedressed with high-boy & coulters; ONLY on Typical plots"
Wade Dooley,Can We Reduce N and Improve ROI?,Weed control,,
Wade Dooley,Can We Reduce N and Improve ROI?,Weed control,,
Wade Dooley,Can We Reduce N and Improve ROI?,Pest control,,
Wade Dooley,Can We Reduce N and Improve ROI?,Soil sampling,,
Wade Dooley,Can We Reduce N and Improve ROI?,Corn harvest,,11/11/2022
Wade Dooley,Can We Reduce N and Improve ROI?,Observation,,Will harvest middle 15 ft of each strip
